question,wrong_choices,correct_answer
"A fault in a computer program which prevents it from working correctly is known as___________?","Boot, Biff, Strap","Bug"
"A small or intelligent device is so called because it contains within it a________?","Computer, Microcomputer, Programmable","Sensor"
"A computer program that converts an entire program into machine language is called a/an","Interpreter, Simulator, Commander","Compiler"
"The system unit of a personal computer typically contains all of the following except:","Microprocessor, Disk controller, Serial interface","Modem"
"What is meant by a dedicated computer?","Which is used by one person only, Which uses one kind of software, Which is meant for application software","Which is assigned one and only one task"
"Personal computers use a number of chips mounted on a main circuit boarWhat is the common name for such boards?","Daughter board, Father board, Breadboard","Motherboard"
"Modern Computer are very reliable but they are not___________?","Fast, Powerful, Cheap","Infallible"
"An error in software or hardware is called a bug. What is the alternative computer jargon for it?","Leech, Squid, Slug","Glitch"
"Personnel who design, program, operate and maintain computer equipment refers to__________?","Console-operator, Programmer, System Analyst","Peopleware"
"Who invented the high level language “C”?","Niklaus Writh, Seymour Papert, Donald Kunth","Dennis M. Ritchie"
"Who designed the first electronics computer – ENIAC?","Van-Neumann, Joseph M. Jacquard, All of above","J. Presper Eckert and John W Mauchly"
"In latest generation computers, the instructions are executed___________?","Parallel only, Sequentially only, All of above","Both sequentially and parallel"
"In analogue computer_____________?","Input is first converted to digital form, Output is displayed in digital form, All of above","Input is never converted to digital form"
"The output quality of a printer is measured by____________?","Dot per sq. inch, Dots printed per unit time, All of above","Dot per inch"
"Which of the following devices can be used to directly image printed text?","OMR, MICR, All of above","OCR"
"Microprocessors as switching devices are for ___________generation computers?","First Generation, Second Generation, Third Generation","Fourth Generation"
"The computer size was very large in__________?","Second Generation, Third Generation, Fourth Generation","First Generation"
"Second Generation computers were developed during___________?","1949 to 1955, 1965 to 1970, 1970 to 1990","1956 to 1965"
"Chief component of first generation computer was__________?","Transistors, Integrated Circuits, None of above","Vacuum Tubes and Valves"
"IBM 1401 is_________?","First Generation Computer, Third Generation Computer, Fourth Generation Computer","Second Generation Computer"
"Which of the following is first generation of computer?","IBM-1401, CDC-1604, ICL-2900","EDSAC"
"ASCII stands for__________?","American Stable Code for International Interchange, American Standard Case for Institutional Interchange, American Standard Code for Interchange Information","American Standard Code for Information Interchange"
"MIS is designed to provide information needed for effective decision making by?","Consumers, Workers, Foremen","Managers"
"When did John Napier develop logarithm?","1416, 1641, 1804","1614"
"Which of the following is a storage device?","Tape, Hard Disk, Floppy Disk","All of the above"
"What does DMA stand for?","Distinct Memory Access, Direct Module Access, Direct Memory Allocation","Direct Memory Access"
"Which of the following is not anti- viruses software?","Avira, Kaspersky, McAfee","Oracle"
"Which programming languages are classified as low level languages?","BASIC, COBOL, Fortran, Prolog, C, C++","Assembly languages"
"What do you call the programs that are used to find out possible faults and their causes?","operating system extensions, cookies, boot diskettes","diagnostic software"
"What characteristic of read-only memory (ROM) makes it useful?","ROM information can be easily update, ROM provides very large amounts of inexpensive data storage., ROM chips are easily swapped between different brands of computers.","Data in ROM is non-volatile, that is, it remains there even without electrical power."
"__________represents raw facts, where-as__________is data made meaningful?","Information, reporting, Information, bits, Records, bytes","Data, information"
"Where are data and programme stored when the processor uses them?","Secondary memory, Disk memory, Programme memory","Main memory"
"When a file is saved for the first time?","a copy is automatically printed, it does not need a name, it only needs a name if it is not going to be printed","it must be given a name to identify it"
"What is embedded system?","The programme which arrives by being wrapped in box., The programme which is the permanent part of the computer, The computer and software system that control the machine","The computer which is the part of a larger system or machine"
"Example of non-numeric data is_________?","Examination score, Bank balance, All of these","Employee address"
"The amount of vertical space between lines of text in a document is called___________?","double-space, single space, vertical spacing","line spacing"
"A computer cannot ‘boot’ if it does not have the__________?","Compiler, Loader, Assembler","Operating System"
"What type of computers are client computers (most of the time) in a client-server system?","Mainframe, Mini-computer, PDA","Microcomputer"
"which statement describe “Hackers”?","all have the same motive, may legally break into computers as long as they do not do any damage, are people who are allergic to computers","break into other people’s computers"
"Junk e-mail is also called_________?","spoof, sniffer script, spool","spam"
"CAD stands for_________?","Computer algorithm for design, Computer application in design, Computer analogue design","Computer aided design"
"Which of the following is a part of the Central Processing Unit?","Printer, Key board, Mouse","Arithmetic & Logic unit"
"EBCDIC stands for__________?","Extended Bit Code Decimal Interchange Code, Extended Bit Case Decimal Interchange Code, Extended Binary Case Decimal Interchange Code","Extended Binary Coded Decimal Interchange Code"
