question,wrong_choice,correct_answer
Which Province of Pakistan for the first time started the Public Facility and Solution of problems through District govt APP Citizen Portal?,"A. Punjab
B. Baluchistan

D. Sindh",C. Khyber Pakhtunkhwa
"All those people in the stands who would catch a six will be awarded equal share from the award of 1 crore RS as per policy of “Pepsi catch a crore”,How many spectators were lucky to have their name in the list of PSL-3?.","A. 10
B. 11

D. 13",C. 12
Which player had most ducks in PSL-3?,"A. Luke Ronchi

C. Shaheen Shah
D. M.Hafeez",B. Kamran Akmal
Which player has hit most fifties in PSL-3?,"A. Luke Ronchi
B. Kamran Akmal
C. Babar Azam",D. All
Which player has hit most Fours in PSL-3?,"A. Kamran Akmal

C. Babar Azam
D. JR Denly",B. Luke Ronchi
Which player has hit most sixes in PSL-3?,"A. Luke Ronchi

C. SR Watson
D. DR Smith",B. Kamran Akmal
Who was the only player to hit century in PSL-3?,"A. Luke Ronchi

C. Fakhar Zaman
D. Sohaib Maqsood",B. Kamran Akmal
PSL-3 has been promoted on social media by which Hashtag?,"A. #HBLPSL 2018
B. #AbKhel6Ka
C. #DilSeJaanLagaDe",D. All of the above
Each foreign cricketer who played PSL-3 play-off matches in Pakistan was paid extra US$________ for each of the match?,"A. 20 thousand
B. 5 thousand

D. 1 thousand",C. 10 thousand
The tickets for final Match of PSL-3 was sold out within _________ hours?,"A. 5
B. 4

D. 2",C. 3
Who was the leading wicket taker in PSL-3?,"A. Faheem Ashraf
B. Wahab Riaz

D. N.O.T",C. Both
New franchise that  joined PSL-3 for the first time was _________?,"A. Quetta gladiators

C. Lahore Qalandar
D. KArachi Kings",B. Multan Sultan
How many venues were utilized to Kick-off PSL-3 tournament?,"A. 3
B. 2

D. 5",C. 4
How many matches were played in PSL-3?,"A. 35
B. 36

D. 32",C. 34
Who was awarded as the “Safe hands in field” award of PSL-3?,"A. Kamran Akmal

C. Luke Ronchi
D. M.Hafeez",B. JP Duminy
Who was awarded as the “Player of the Tournament” of PSL-3?,"A. Kamran Akmal

C. Shadab Khan
D. Wahab Riaz",B. Luke Ronchi
Who was awarded as the “Best Batsman” of PSL-3?,"A. Luke Ronchi

C. Babar Azam
D. Kumar Sangakkara",B. Kamran Akmal
Who was awarded as the “Best Umpire” of PSL-3?,"A. Aleem Dar

C. Shozab Raza
D. Richard Illingworth",B. Rashid Riaz
Who was awarded as the “best bowler” of PSL-3?,"A. Hassan Ali

C. Wahab Riaz
D. Chris Jordan",B. Faheem Ashraf
Who was awarded as the best Wicket-Keeper in PSL-3?,"A. Kamran Akmal

C. Luke Ronchi
D. Tim Paine",B. Kumar Sangakkara
Which player was the Man of the Match in PSL-3 final?,"A. Asif Ali

C. Sahibzada Farhan
D. Shadab Khan",B. Luke Ronchi
Mosques of capital are limited to deliver Friday sermon on how many selected topics by capital administration?,"A. 40
B. 45

D. 24",C. 35
"Who has acquitted 20 suspects allegedly involved in lynching incident of 2014,wherein a christian couple was buried alive by a mob?","A. SC

C. IHC
D. Lahore high court",B. Anti terrorism court
"Who has paid fine of 10 thousand RS imposed on Aitzaz Ahsan for not appearing in a case by SC,after Aitzaz Ahsan refused to pay it?","A. Jam Khan Shoro

C. CJP
D. Bilawal bhutto zardari",B. CJP’s Son
"Karachi has hosted PSL-3 final on 25 March 2018,before this match Karachi has not staged a high-profile fixture of international standing since ________?","A. 2010
B. 2011
C. 2012",D. 2009
Psl third edition Final Match was played in which Stadium?,"A. Gaddafi stadium

C. Arbab Niaz Stadium
D. Jinnah Stadium",B. National Stadium
Which team has won PSL title twice?,"A. Peshawar zalmi

C. Quetta gladiators
D. Lahore qalandars",B. Islamabad united
Which team has won third edition of PSL?,"A. Peshawar zalmi

C. Karachi kings
D. Quetta gladiators",B. Islamabad united
After how many Years International Cricket Players played in Karachi?,"A. 7 years
B. 8 Years

D. 10 Years",C. 9 Years
"How many Pakistani entities has been added by USA to sanctions list, that are subjected to stringent export control measures?","A. 8
B. 9

D. 10",C. 7
"Who has ordered private medical colleges to refund the fee received in excess of Rs 850,000 to students within one month?","A. IHC

C. Peshawar high court
D. Sindh high court",B. Supreme Court
Approximately how many nations marked earth hour 2018 including Pakistan?,"A. 120
B. 150

D. 200",C. 185
Between what time earth hour was celebrated in Pakistan on 24th March 2018?,"A. 7:30 PM – 8:30 PM
B. 6:30 PM – 7:30 PM

D. 9:30 PM – 10:30 PM",C. 8:30 PM – 9:30 PM
"In which city Pakistan’s high commission organized Pakistan’s day event,which was attended by more than 80 diplomats from different countries?","A. Bangkok

C. Beijing
D. Dubai",B. London
Which country has announced it’s support for UNESCO’s Girl’s right to education programme in Pakistan?,"B. N.Korea
C. China
D. Germany",A. S.Korea
Which TV channel in Pakistan has hired a transgender newscaster to become first in Pakistan’s history?,"A. Dawn news

C. The news
D. Capital TV",B. Kohenoor news
Which transgender person has become first news anchor in Pakistan’s history?,"A. Navada

C. Rayna
D. Shayna",B. Marvia Malik
Who was the second Governor-General of Pakistan?,"A. Liaquat Ali Khan
B. Abdul Rab Nishter
C. Raja Ghazanfar",D. Khawaja Nazim-ud-Din
Air Chief Marshal (ACM) Mujahid Anwar is the ___________ Chief of Air Staff of Pakistan Air Force?,"A. 20th
B. 21st

D. 23rd",C. 22nd
"Who becomes the Youngest Pakistani Cricketer to Receive Sitara-e-Imtiaz, the third highest civil award of Pakistan?","B. Hasan Ali
C. Shahid Afridi
D. Younis Khan",A. Sarfraz Ahmed
"Name the Sri Lankan President, who was the guest of honour at the ceremony of Pakistan Day 2018?","A. William Gopallawa
B. Dingiri Banda Wijetunga
C. Mahinda Rajapaksa",D. Maithripala Sirisena
Sherry Rehman has become the leader of opposition in senate with the support of ________ members?,"A. 31
B. 32

D. 33",C. 34
Pakistan has achieved the lowest ever case count of polio in 2017.The number of total cases are?,"A. 10
B. 9

D. 6",C. 8
General Qamar Javed Bajwa has called on which country’s Minister for Defense on 22 March 2018?,"B. Thailand
C. Russia
D. USA",A. Oman
ECP has announced to set up _________ display centres for voters lists in Pakistan?,"A. 15487
B. 16487

D. 13487",C. 14487
"As per ‘Tobacco Atlas’, how many people are being killed by tobacco-related diseases in Pakistan annually?","A. 170,000
B. 180,000

D. 190,000","C. 160,000"
Burj Khalifa was lighted up with green and white spectacular LED illumination of the Pakistani national flag on country’s ___________ Pakistan Day?,"A. 76th
B. 77th

D. 79th",C. 78th
Which city of Pakistan has hosted Pakistan’s first-ever Biennale?,"A. Karachi

C. Islamabad
D. Rawalpindi",B. Lahore
Pakistan women cricket team has won three-match series against which country?,"B. India
C. Bangladesh
D. Australia",A. Srilanka
"As per report by World Travel and Tourism Council, Travel and tourism contributed approximately Rs _______ billion to Pakistan’s economy in 2017?","A. 935
B. 940

D. 945",C. 931
Who has become the first female Senate opposition leader in Pakistan?,"A. Khushbakht Shujat

C. Krishna Kumari
D. Abida Muhammad Azeem",B. Sherry Rehman
Which country has provided ‘high-performance tracking system’ for Pakistan’s missile programme?,"B. USA
C. Russia
D. Germany",A. China
The Pakistan Space and Upper Atmosphere Research Commission (Suparco) inked deal with whom to acquire communication satellite (PakSat-MM1)?,"A. Aerospace company of China

C. Aerospace companies of Australia
D. Aerospace companies of USA",B. China Great Wall Industry Cooperation (CGWIC)
"Pakistan has acquired another communication satellite on March 22,2018 named as _______?","A. PakSat-MM2

C. PakSat-MM3
D. PakSat-MM4",B. PakSat-MM1
"Sohail Ahmed Tipu was found hanging from a ceiling fan at his residence on March 22, 2018.He was working on which position?","A. AC Gujranwala

C. AIG Punjab police
D. DIG Punjab police",B. DC Gujranwala
The _______ Pakistan Day was celebrated across the country on 23rd March 2018?,"A. 79th
B. 77th

D. 80th",C. 78th
Sindh government on Pakistan Day 2018 has announced a _______ day reduction in the sentence of convicts imprisoned in the province’s jails?,"A. 90
B. 30

D. 120",C. 60
"SBP has denied the issuance of ________ RS banknote, as continuously rumors were circulating on the social media regarding the issuance of the note?","A. 1
B. 2

D. 5",C. 10000
Which country’s President has been the Guest of Honor on Pakistan Day (23 March 2018) parade?,"B. India
C. Bangladesh
D. S.Africa",A. Srilanka
"Pakistani President Mamnoon Hussain has awarded _________ Pakistani citizens and foreign nationals for their extraordinary services in many fields, including science, literature, arts, sports and media on 23 March 2018?","A. 145
B. 148

D. 139",C. 141
"According to UNICEF’s report, in Pakistan clean drinking water is available to only _______% of the population?","A. 50
B. 70

D. 10",C. 30
As per study report there will be no or very little clean water available in Pakistan by ____________?,"A. 2020
B. 2030

D. 2040",C. 2025
"As per International Monetary Fund (IMF) report 2018,Pakistan ranked ______ amongst countries facing water shortages?","A. 15th
B. 20th

D. 18th",C. 3rd
President of Pakistan announced new medal on 23 march 2018 named as ___________?,"A. Sitara-e- Juraat
B. Tamgha-e-Amtiaz
C. Nishaan-e-Haider",D. Tamgha-e-Azam
Pakistan day cycling race won by the international cyclist________on 23rd march 2018?,"A. Cean kelly
B. Alberto contador
C. Gino bartali",D. Mohsin
The pop singer and humanitarian______has been awarded the Sitara-e-Imtiaz award om 23rd march 2018?,"A. Ali zafar
B. Atif Aslam

D. Rahat Fateh Ali Khan",C. Shehzad Roy
Pakistan has offered zero duty on 6000 items from which country?,"B. Japan
C. Afghanistan
D. Thailand",A. China
Which police officer has been arrested on CJP’s ditective in the Naqeebullah Mehsud killing case on 21 March 2018?,"A. Muhafiz hussain

C. M.Rizwan
D. Noman siddique",B. Rao anwar
"Which PSL franchise has announced to not include players in the next edition,those who do not come to play scheduled matches of PSL in Pakistan?","A. Peshawar Zalmi

C. Lahore Qalandars
D. Karachi kings",B. Quetta gladiators
"In which city,embassy of Pakistan has organised Pakistan day reception on 21 March 2018?","B. New delhi
C. New york
D. Bangkok",A. Brussels
Who has replaced Sohail Aman as chief of air staff?,"A. Imran Khalid

C. Farooq Habib
D. Arshad Mahmood",B. Mujahid Anwar Khan
Which MNA of PPP has died on 20 March 2018 in New York?,"A. Shamas-un-nisa

C. Asghar Ali
D. Shabbir Ali",B. M.Ayaz Soomro
"Which famous televangelist,TV host and lawmaker has joined PTI on 19 March 2018?","A. Syed Talhat Hussain

C. Fahad Mustafa
D. Aftab Iqbal",B. Dr Aamir Liaquat
"As per study by Pakistan center for philanthropy, what amount Pakistanis give to charity annually?","A. 300 billion RS
B. 320 billion RS

D. 380 billion RS",C. 240 billion RS
HEC has suspended admissions for M Phil and PhD distance learning programme administered by how many universities?,"A. 15
B. 16

D. 12",C. 13
Which Pakistani court has ordered arrest of TLP leaders in Faizabad sit-in case?,"A. SC

C. IHC
D. Lahore high court",B. Anti terrorism court
Which famous leader has stepped down as leader of Kashmir group (Tehreek-e-Hurriyat)?,"A. M.Ashraf Sehraie

C. M.Yasin Malik
D. Mirwaiz Umar Farooq",B. Syed Ali Shah Geelani
Which foreign company has announced 11 billion RS investment in Pakistan in march 2018?,"A. Adam motor company

C. Agha steel
D. Al-Ghazi tractors",B. Unilever
SC has banned the TV show of which anchorperson for three months on 20 March 2018?,"A. Aamir liaquat

C. Kashif Abbasi
D. Kamran Khan",B. Dr Shahid Masood
Who has been appointed as president of Muttahida Majlis Amal?,"A. Siraj-ul-Haq

C. Liaquat baloch
D. Khadim Rizvi",B. Maulana Fazlur Rehman
"CWI has offered ______ dollars for each player of WI cricket team,who will participate in the three match t20I series against Pakistan in April 2018?","A. 27000
B. 28000

D. 30000",C. 25000
"How many containers were fallen into sea,after two cargo ships collided at Karachi port?","A. 22
B. 23

D. 24",C. 21
Shahida nasreen who has been awarded first position at the 7th International Women Policing Conference held in Georgia is working on which rank in Pakistan?,"B. ASI investigation
C. SI investigation
D. Head Constable",A. DSP investigation
which Pakistani Lady Police Officer has been awarded first position at the 7th International Women Policing Conference held in Georgia?,"B. Mumtaz begum
C. Irum begum
D. Shaista Ikramullah",A. Shahida Nasreen
"As per The Economist Intelligence Unit report 2018,Karachi has been ranked as _________  cheapest city in the world?","B. 7th
C. 8th
D. 9th",A. 6th
Which Deputy Superintendent of Police (DSP) Investigation from Pakistan secured first position at the 7th International Women Policing Conference held in Georgia:,"A. Aneela Naz

C. Shazadi Gillani
D. none",B. Shahida Nasreen
Which death Anniversary of the 1965 War Hero MM Alam was observed on 18 March 2018?,"A. 3rd
B. 4th

D. 6th",C. 5th
Which of the following Color Cap was received by Luke Ronchi for making highest score in PSL 2018 Series Season 3?,"A. Blue

C. Yellow
D. Pink",B. Green
When Air Chief Marshal Mujahid Anwar Khan take a Command of Pakistan Air force?,"A. 16 March 2018
B. 17 March 2018
C. 18 March 2018",D. 19 March 2018
Which Province to introduce law to check animal diseases?,"A. KPK
B. Sindh

D. None of These",C. Punjab
When FIFA has lifted suspension on Pakistan football federation?,"B. 14 March 2018
C. 15 March 2018
D. 11 March 2018",A. 13 March 2018
Four workers of NTS have been arrested  from which city involved in leaking the NTS papers?,"B. Swat
C. Larkana
D. Sukkur",A. Abbottabad
Which Pakistani film has become first to premiere at London’s Leicester square?,"B. Waar
C. Punjab nahi jaungi
D. Verna",A. Cake
Which country has levied 400 times higher duty on Pakistan goods?,"B. India
C. Iran
D. Saudi Arabia",A. Afghanistan
Which country has invited Pakistan to participate in Chahbahar project?,"B. China
C. India
D. Turkey",A. Iran
